#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,2022,Aaron Judge,NYY,157,696,62,133,131,16,15.90%,25.10%,0.375,0.34,0.311,0.425,0.686,0.458,,209,2.1,87.1,1.1,11.6
2,2023,Ronald Acuña Jr.,ATL,159,735,41,149,106,73,10.90%,11.40%,0.258,0.338,0.337,0.416,0.596,0.428,,170,7.6,71.7,-13.6,8.3
3,2023,Mookie Betts,LAD,152,693,39,126,107,14,13.90%,15.40%,0.272,0.316,0.307,0.408,0.579,0.416,,167,3.5,60.8,-1.6,8.3
4,2023,Freddie Freeman,LAD,161,730,29,131,102,23,9.90%,16.60%,0.235,0.37,0.331,0.41,0.567,0.411,,163,5.1,61.8,-7.5,7.9
5,2022,Manny Machado,SDP,150,644,32,100,102,9,9.80%,20.70%,0.234,0.337,0.298,0.366,0.531,0.382,,153,3,42.6,7,7.5
6,2022,Nolan Arenado,STL,148,620,30,73,103,5,8.40%,11.60%,0.241,0.29,0.293,0.358,0.533,0.381,,150,-1.6,34.2,13.2,7.2
7,2022,Freddie Freeman,LAD,159,708,21,117,100,13,11.90%,14.40%,0.186,0.359,0.325,0.407,0.511,0.393,,158,5.4,52.8,-9.2,7.1
8,2022,Paul Goldschmidt,STL,151,651,35,106,115,7,12.10%,21.70%,0.26,0.368,0.317,0.404,0.578,0.419,,176,3,60.4,-15.8,7
9,2022,Yordan Alvarez,HOU,135,561,37,95,97,1,13.90%,18.90%,0.306,0.32,0.306,0.406,0.613,0.427,,185,-0.6,53,-6.7,6.7
10,2023,Matt Olson,ATL,162,720,54,127,139,1,14.40%,23.20%,0.321,0.302,0.283,0.389,0.604,0.413,,160,1.5,55.4,-12.6,6.7
11,2023,Shohei Ohtani,LAA,135,599,44,102,95,20,15.20%,23.90%,0.35,0.342,0.304,0.412,0.654,0.433,,180,3.4,60.6,-14.5,6.6
12,2022,Jose Altuve,HOU,141,604,28,103,57,18,10.90%,14.40%,0.233,0.315,0.3,0.387,0.533,0.397,,164,-1.5,42,1.6,6.6
13,2022,Francisco Lindor,NYM,161,706,26,98,107,16,8.40%,18.80%,0.179,0.301,0.27,0.339,0.449,0.342,,125,3.3,23.9,15.1,6.6
14,2022,Mookie Betts,LAD,142,639,35,117,82,12,8.60%,16.30%,0.264,0.272,0.269,0.34,0.533,0.373,,145,4.3,37.4,3.5,6.6
15,2022,J.T. Realmuto,PHI,139,562,22,75,84,21,7.30%,21.20%,0.202,0.318,0.276,0.342,0.478,0.354,,128,6.6,25.2,18,6.5
16,2022,Dansby Swanson,ATL,162,696,25,99,96,18,7.00%,26.10%,0.17,0.348,0.277,0.329,0.447,0.337,,116,3.1,16.2,21.6,6.4
17,2022,Trea Turner,LAD,160,708,21,101,100,27,6.40%,18.50%,0.169,0.342,0.298,0.343,0.466,0.35,,128,6.5,29.7,7.2,6.4
18,2022,José Ramírez,CLE,157,685,29,90,126,20,10.10%,12.00%,0.235,0.279,0.28,0.355,0.514,0.363,,141,6,37.7,1,6.4
