num,Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,2022,Otto Lopez,TOR,8,9,10,6,6,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0.667
2,2023,Cole Tucker,COL,5,8,10,4,4,0,0,0,2,2,1,0,2,1,0,0,0,0,0,0.5
3,2022,James Outman,LAD,4,13,16,6,3,2,0,1,6,3,2,0,7,1,0,0,0,0,0,0.462
4,2023,Forrest Wall,ATL,15,13,15,6,3,2,0,1,6,2,2,0,4,0,0,0,0,5,1,0.462
5,2023,Abraham Toro,MIL,9,18,21,8,6,0,0,2,4,9,2,0,5,1,0,0,0,0,0,0.444
6,2022,Livan Soto,LAA,18,55,59,22,15,5,1,1,9,9,2,0,13,0,1,1,1,1,1,0.4
7,2023,Ernie Clement,TOR,30,50,52,19,16,1,1,1,7,10,1,0,4,0,1,0,0,1,0,0.38
8,2022,Will Brennan,CLE,11,42,45,15,12,1,1,1,6,8,2,1,4,1,0,0,0,2,1,0.357
9,2023,Luis Arraez,MIA,147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,0.354
10,2022,David Hensley,HOU,16,29,34,10,6,2,1,1,7,5,5,0,6,0,0,0,3,0,0,0.345
11,2023,Ronald Acuña Jr.,ATL,159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,0.337
12,2022,Jaylin Davis,BOS,12,24,27,8,7,1,0,0,4,2,3,0,11,0,0,0,0,0,0,0.333
13,2022,Dalton Guthrie,PHI,14,21,28,7,6,0,0,1,3,5,6,0,7,1,0,0,0,1,0,0.333
14,2022,Ji Hwan Bae,PIT,10,33,37,11,8,3,0,0,5,6,2,0,6,2,0,0,0,3,0,0.333
15,2023,Freddie Freeman,LAD,161,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,0.331
16,2023,Yandy Díaz,TBR,137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,0.33
17,2023,Corey Seager,TEX,119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,0.327
18,2022,Jeff McNeil,NYM,148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,0.326
19,2022,Freddie Freeman,LAD,159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,0.325
20,2022,Joey Meneses,WSN,56,222,240,72,45,14,0,13,33,34,15,2,52,1,2,0,13,1,0,0.324
21,2023,Nick Loftin,KCR,19,62,68,20,14,5,1,0,10,10,4,0,12,1,1,0,0,2,0,0.323
22,2022,Tyler Stephenson,CIN,50,166,183,53,38,9,0,6,24,35,12,0,47,3,2,0,4,1,0,0.319
23,2023,Luis Campusano,SDP,49,163,174,52,38,7,0,7,27,30,7,0,21,3,1,0,8,0,0,0.319
24,2022,Gabriel Moreno,TOR,25,69,73,22,20,1,0,1,10,7,4,0,8,0,0,0,2,0,0,0.319
25,2022,Maikel Garcia,KCR,9,22,23,7,6,1,0,0,1,2,1,0,5,0,0,0,1,0,0,0.318
26,2022,Paul Goldschmidt,STL,151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317
27,2022,Luis Arraez,MIN,144,547,603,173,133,31,1,8,88,49,50,2,43,3,3,0,6,4,4,0.316
28,2023,Sean Bouchard,COL,21,38,43,12,6,2,0,4,11,7,4,0,14,0,1,0,0,0,1,0.316
29,2023,Wilyer Abreu,BOS,28,76,85,24,16,6,0,2,10,14,9,0,23,0,0,0,0,3,1,0.316
30,2023,Noelvi Marte,CIN,35,114,123,36,26,7,0,3,15,15,8,0,25,1,0,0,1,6,2,0.316
31,2023,Harold Ramírez,TBR,122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,0.313
32,2023,Weston Wilson,PHI,8,16,22,5,4,0,0,1,5,2,6,0,5,0,0,0,0,3,1,0.313
33,2022,Garrett Mitchell,MIL,28,61,68,19,14,3,0,2,9,9,6,0,28,0,0,1,0,8,0,0.311
34,2023,Jose Altuve,HOU,90,360,410,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,0.311
35,2022,Aaron Judge,NYY,157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.311
36,2023,Royce Lewis,MIN,58,217,239,67,45,7,0,15,36,52,20,0,55,2,0,0,5,6,1,0.309
37,2022,Conner Capel,2 Tms,22,52,59,16,12,0,1,3,7,11,5,0,10,0,2,0,2,1,1,0.308
38,2023,Josh Naylor,CLE,121,452,495,139,91,31,0,17,52,97,33,9,68,3,7,0,11,10,3,0.308
39,2022,Rob Refsnyder,BOS,57,153,177,47,30,11,0,6,25,21,15,0,46,6,3,0,1,1,1,0.307
40,2022,Xander Bogaerts,BOS,150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307
41,2023,Cody Bellinger,CHC,130,499,556,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,0.307
42,2023,Mookie Betts,LAD,152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.307
43,2023,Bo Bichette,TOR,135,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,14,5,3,0.306
44,2023,Evan Carter,TEX,23,62,75,19,9,4,1,5,15,12,12,1,24,0,1,0,1,3,0,0.306
45,2022,Yordan Alvarez,HOU,135,470,561,144,76,29,2,37,95,97,78,9,106,6,7,0,12,1,1,0.306
46,2022,Kris Bryant,COL,42,160,181,49,32,12,0,5,28,14,17,0,27,2,2,0,7,0,0,0.306
47,2022,Oswald Peraza,NYY,18,49,57,15,11,3,0,1,8,2,6,0,9,2,0,0,3,2,0,0.306
48,2022,Dee Strange-Gordon,WSN,23,59,59,18,16,1,1,0,6,2,0,0,8,0,0,0,1,3,2,0.305
49,2022,Matt Carpenter,NYY,47,128,154,39,15,9,0,15,28,37,19,1,35,5,1,1,2,0,0,0.305
50,2022,José Abreu,CHW,157,601,679,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,0.304
51,2023,Shohei Ohtani,LAA,135,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,9,20,6,0.304
52,2022,Andrew Benintendi,2 Tms,126,461,521,140,109,23,3,5,54,51,52,0,77,2,5,1,7,8,3,0.304
53,2022,Tom Murphy,SEA,14,33,42,10,7,2,0,1,9,1,8,0,13,0,0,0,1,0,0,0.303
54,2023,Johan Rojas,PHI,59,149,164,45,32,9,2,2,24,23,5,0,42,4,0,6,1,14,1,0.302
55,2022,Nathaniel Lowe,TEX,157,593,645,179,123,26,3,27,74,76,48,2,147,4,0,0,10,2,2,0.302
56,2022,Tim Anderson,CHW,79,332,351,100,81,13,0,6,50,25,14,1,55,5,0,0,10,13,0,0.301
57,2022,Yonathan Daza,COL,113,372,408,112,87,21,2,2,56,34,26,0,58,4,5,1,12,0,3,0.301
58,2023,Dominic Fletcher,ARI,28,93,102,28,20,5,1,2,10,14,7,1,22,0,0,2,0,0,2,0.301
59,2022,Harold Ramírez,TBR,120,403,435,121,91,24,0,6,46,58,19,1,72,9,4,0,5,3,5,0.3
60,2022,Dustin Garneau,DET,8,10,11,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.3
61,2022,Joe Dunand,MIA,3,10,11,3,1,1,0,1,2,1,0,0,3,1,0,0,0,0,0,0.3
62,2022,Royce Lewis,MIN,12,40,41,12,6,4,0,2,5,5,1,0,5,0,0,0,2,0,0,0.3
63,2022,Jose Altuve,HOU,141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,0.3
64,2023,Gio Urshela,LAA,62,214,228,64,53,8,1,2,22,24,10,0,36,1,3,0,9,3,2,0.299
65,2023,Victor Robles,WSN,36,107,126,32,26,5,1,0,15,8,11,0,18,4,0,4,3,8,1,0.299
66,2022,Steven Kwan,CLE,147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,0.298
67,2023,Jared Triolo,PIT,54,181,209,54,42,9,0,3,30,21,24,0,63,3,1,0,0,6,1,0.298
68,2022,Manny Machado,SDP,150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.298
69,2022,Trea Turner,LAD,160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,0.298
70,2022,Andrés Giménez,CLE,146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,0.297
71,2022,Sean Bouchard,COL,27,74,97,22,13,6,0,3,9,11,21,0,25,1,1,0,1,0,0,0.297
72,2023,Iván Herrera,STL,13,37,44,11,9,2,0,0,6,4,5,0,11,2,0,0,1,0,0,0.297
73,2022,Michael Harris II,ATL,114,414,441,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,0.297
74,2023,Nolan Jones,COL,106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,0.297
75,2022,Yandy Díaz,TBR,137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,0.296
76,2022,Oscar Gonzalez,CLE,91,362,382,107,69,27,0,11,39,43,15,2,75,3,2,0,6,1,2,0.296
77,2022,Rafael Devers,BOS,141,555,614,164,94,42,1,27,84,88,50,11,114,6,3,0,14,3,1,0.295
78,2023,Jarren Duran,BOS,102,332,362,98,54,34,2,8,46,40,24,1,90,3,2,0,3,24,2,0.295
79,2023,Xavier Edwards,MIA,30,78,84,23,20,3,0,0,12,3,3,0,14,1,0,2,1,5,0,0.295
80,2022,Vinnie Pasquantino,KCR,72,258,298,76,56,10,0,10,25,26,35,1,34,3,2,0,5,1,0,0.295
81,2022,Eloy Jiménez,CHW,84,292,327,86,58,12,0,16,40,54,28,0,72,3,4,0,8,0,0,0.295
82,2023,Alexander Canario,CHC,6,17,17,5,2,1,1,1,1,6,0,0,8,0,0,0,0,0,0,0.294
83,2023,Jon Berti,MIA,133,388,424,114,88,16,3,7,53,33,29,2,77,2,3,2,10,16,6,0.294
84,2023,Bryce Harper,PHI,126,457,546,134,83,29,1,21,84,72,80,8,119,5,4,0,10,11,3,0.293
85,2023,Michael Harris II,ATL,138,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,8,20,4,0.293
86,2023,Yordan Alvarez,HOU,114,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,7,0,0,0.293
87,2022,Nolan Arenado,STL,148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.293
88,2022,Starling Marte,NYM,118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.292
89,2023,Josh Lowe,TBR,135,466,501,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,0.292
90,2022,Jose Iglesias,COL,118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,11,2,3,0.292
91,2022,Lourdes Gurriel Jr.,TOR,121,453,493,132,94,32,1,5,52,52,31,1,83,6,2,0,11,3,4,0.291
92,2022,Carlos Correa,MIN,136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291
93,2022,Vaughn Grissom,ATL,41,141,156,41,30,6,0,5,24,18,11,1,34,3,1,0,0,5,2,0.291
94,2023,Matt McLain,CIN,89,365,403,106,63,23,4,16,65,50,31,0,115,7,0,0,5,14,5,0.29
