"","CF.Season","CF.Name","CF.Team.x","CF.G","CF.AB","CF.PA","CF.H","CF.B1","CF.B2","CF.B3","CF.HR","CF.R","CF.RBI","CF.BB","CF.IBB","CF.SO","CF.HBP","CF.SF","CF.SH","CF.GDP","CF.SB","CF.CS","CF.AVG","CF.BB_perc","CF.K_perc","CF.ISO","CF.BABIP","CF.OBP","CF.SLG","CF.wOBA","CF.wRC.","CF.BsR","CF.Off","CF.WAR","CF.Team.y","CF.Position","CF.score","CF.perPA","CF.perAB"
"1",2023,"Corbin Carroll","ARI",155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.285,0.088,0.194,0.221,0.325,0.362,0.506,0.37,133,15.8,42.3,6,"ARI","CF",465,0.720930232558139,0.823008849557522
"2",2023,"Julio Rodríguez","SEA",155,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,14,37,10,0.275,0.066,0.245,0.209,0.33,0.333,0.485,0.347,126,7,29.4,5.9,"SEA","CF",437,0.612044817927171,0.668195718654434
"3",2023,"Cody Bellinger","CHC",130,499,556,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,0.307,0.072,0.156,0.218,0.319,0.356,0.525,0.37,134,2.7,26.3,4.1,"CHC","CF",430,0.773381294964029,0.861723446893788
"4",2023,"Adolis García","TEX",148,555,632,136,68,29,0,39,108,107,65,0,175,6,6,0,12,9,1,0.245,0.103,0.277,0.263,0.28,0.328,0.508,0.354,124,3.5,21.8,4.8,"TEX","CF",396,0.626582278481013,0.713513513513514
"5",2023,"Fernando Tatis Jr.","SDP",141,575,635,148,89,33,1,25,91,78,53,0,141,3,3,1,17,29,4,0.257,0.083,0.222,0.191,0.299,0.322,0.449,0.332,113,3.1,13.1,4.4,"SDP","CF",368,0.579527559055118,0.64
"6",2023,"Brandon Nimmo","NYM",152,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.274,0.109,0.214,0.193,0.324,0.363,0.466,0.359,130,-2.6,22.9,4.3,"NYM","CF",364,0.533724340175953,0.614864864864865
"7",2023,"Bryan Reynolds","PIT",145,574,640,151,91,31,5,24,85,84,53,2,138,7,6,0,13,12,1,0.263,0.083,0.216,0.197,0.304,0.33,0.46,0.338,110,1.9,9.9,2.3,"PIT","CF",362,0.565625,0.630662020905923
"8",2023,"Lane Thomas","WSN",157,628,682,168,101,36,3,28,101,86,36,0,176,11,7,0,5,20,5,0.268,0.053,0.258,0.201,0.325,0.315,0.468,0.334,109,5.8,13.1,2.7,"WSN","CF",361,0.529325513196481,0.57484076433121
"9",2023,"TJ Friedl","CIN",138,488,556,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,0.279,0.085,0.162,0.189,0.308,0.352,0.467,0.353,116,9.1,20.4,4.4,"CIN","CF",352,0.633093525179856,0.721311475409836
"10",2023,"Aaron Judge","NYY",106,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,0.267,0.192,0.284,0.346,0.3,0.406,0.613,0.42,174,1,41.9,5.3,"NYY","CF",349,0.762008733624454,0.950953678474114
