"","LF.Season","LF.Name","LF.Team.x","LF.G","LF.AB","LF.PA","LF.H","LF.B1","LF.B2","LF.B3","LF.HR","LF.R","LF.RBI","LF.BB","LF.IBB","LF.SO","LF.HBP","LF.SF","LF.SH","LF.GDP","LF.SB","LF.CS","LF.AVG","LF.BB_perc","LF.K_perc","LF.ISO","LF.BABIP","LF.OBP","LF.SLG","LF.wOBA","LF.wRC.","LF.BsR","LF.Off","LF.WAR","LF.Team.y","LF.Position","LF.score","LF.perPA","LF.perAB"
"1",2023,"Juan Soto","SDP",162,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,18,12,5,0.275,0.186,0.182,0.245,0.296,0.41,0.519,0.395,155,-4.3,44,5.5,"SDP","LF",527,0.744350282485876,0.927816901408451
"2",2023,"Corbin Carroll","ARI",155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.285,0.088,0.194,0.221,0.325,0.362,0.506,0.37,133,15.8,42.3,6,"ARI","LF",465,0.720930232558139,0.823008849557522
"3",2023,"Kyle Schwarber","PHI",160,585,720,115,48,19,1,47,108,104,126,5,215,6,3,0,4,0,2,0.197,0.175,0.299,0.277,0.209,0.343,0.474,0.35,119,-0.8,16.4,1.4,"PHI","LF",405,0.5625,0.692307692307692
"4",2023,"Marcell Ozuna","ATL",144,530,592,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,0.274,0.096,0.226,0.285,0.293,0.346,0.558,0.381,139,-0.4,28.2,3.3,"ATL","LF",404,0.682432432432432,0.762264150943396
"5",2023,"Christian Yelich","MIL",144,550,632,153,99,34,1,19,106,76,78,7,140,3,1,0,15,28,3,0.278,0.123,0.222,0.169,0.342,0.37,0.447,0.353,122,7.5,24.6,4.1,"MIL","LF",401,0.634493670886076,0.729090909090909
"6",2023,"Steven Kwan","CLE",158,638,718,171,123,36,7,5,93,54,70,2,75,3,6,1,9,21,3,0.268,0.097,0.104,0.102,0.294,0.34,0.37,0.313,100,1.5,1.7,2.9,"CLE","LF",401,0.55849582172702,0.628526645768025
"7",2023,"Yordan Alvarez","HOU",114,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,7,0,0,0.293,0.139,0.185,0.29,0.306,0.407,0.583,0.415,170,-2.6,38.9,4.5,"HOU","LF",395,0.796370967741935,0.963414634146341
"8",2023,"Ian Happ","CHC",158,580,691,144,84,35,4,21,86,84,99,2,153,6,6,0,12,14,3,0.248,0.143,0.221,0.183,0.299,0.36,0.431,0.345,118,1.8,16.8,3.5,"CHC","LF",382,0.552821997105644,0.658620689655172
"9",2023,"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271,0.102,0.209,0.192,0.318,0.356,0.464,0.355,118,1.7,16.4,2.1,"CIN","LF",374,0.562406015037594,0.642611683848797
"10",2023,"Brandon Nimmo","NYM",152,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.274,0.109,0.214,0.193,0.324,0.363,0.466,0.359,130,-2.6,22.9,4.3,"NYM","LF",364,0.533724340175953,0.614864864864865
