"","RF.Season","RF.Name","RF.Team.x","RF.G","RF.AB","RF.PA","RF.H","RF.B1","RF.B2","RF.B3","RF.HR","RF.R","RF.RBI","RF.BB","RF.IBB","RF.SO","RF.HBP","RF.SF","RF.SH","RF.GDP","RF.SB","RF.CS","RF.AVG","RF.BB_perc","RF.K_perc","RF.ISO","RF.BABIP","RF.OBP","RF.SLG","RF.wOBA","RF.wRC.","RF.BsR","RF.Off","RF.WAR","RF.Team.y","RF.Position","RF.score","RF.perPA","RF.perAB"
"1",2023,"Ronald Acuña Jr.","ATL",159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,0.337,0.109,0.114,0.258,0.338,0.416,0.596,0.428,170,7.6,71.7,8.3,"ATL","RF",710,0.965986394557823,1.10419906687403
"2",2023,"Mookie Betts","LAD",152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.307,0.139,0.154,0.272,0.316,0.408,0.579,0.416,167,3.5,60.8,8.3,"LAD","RF",577,0.832611832611833,0.988013698630137
"3",2023,"Kyle Tucker","HOU",157,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,11,30,5,0.284,0.119,0.136,0.233,0.289,0.369,0.517,0.372,140,6.8,38.9,4.9,"HOU","RF",533,0.79080118694362,0.928571428571429
"4",2023,"Corbin Carroll","ARI",155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.285,0.088,0.194,0.221,0.325,0.362,0.506,0.37,133,15.8,42.3,6,"ARI","RF",465,0.720930232558139,0.823008849557522
"5",2023,"Adolis García","TEX",148,555,632,136,68,29,0,39,108,107,65,0,175,6,6,0,12,9,1,0.245,0.103,0.277,0.263,0.28,0.328,0.508,0.354,124,3.5,21.8,4.8,"TEX","RF",396,0.626582278481013,0.713513513513514
"6",2023,"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271,0.102,0.209,0.192,0.318,0.356,0.464,0.355,118,1.7,16.4,2.1,"CIN","RF",374,0.562406015037594,0.642611683848797
"7",2023,"Fernando Tatis Jr.","SDP",141,575,635,148,89,33,1,25,91,78,53,0,141,3,3,1,17,29,4,0.257,0.083,0.222,0.191,0.299,0.322,0.449,0.332,113,3.1,13.1,4.4,"SDP","RF",368,0.579527559055118,0.64
"8",2023,"Anthony Santander","BAL",153,591,656,152,82,41,1,28,81,95,55,1,152,6,4,0,11,5,1,0.257,0.084,0.232,0.215,0.299,0.325,0.472,0.34,119,0.1,15.3,2.6,"BAL","RF",364,0.554878048780488,0.61590524534687
"9",2023,"George Springer","TOR",154,613,683,158,111,25,1,21,87,72,60,1,125,5,3,0,20,20,5,0.258,0.088,0.183,0.147,0.291,0.327,0.405,0.32,104,-1.7,1.6,2.2,"TOR","RF",363,0.531478770131772,0.592169657422512
"10",2023,"Lane Thomas","WSN",157,628,682,168,101,36,3,28,101,86,36,0,176,11,7,0,5,20,5,0.268,0.053,0.258,0.201,0.325,0.315,0.468,0.334,109,5.8,13.1,2.7,"WSN","RF",361,0.529325513196481,0.57484076433121
"11",2023,"Aaron Judge","NYY",106,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,0.267,0.192,0.284,0.346,0.3,0.406,0.613,0.42,174,1,41.9,5.3,"NYY","RF",349,0.762008733624454,0.950953678474114
"12",2023,"Nick Castellanos","PHI",157,626,671,170,102,37,2,29,79,106,36,0,185,3,6,0,17,11,2,0.272,0.054,0.276,0.204,0.337,0.311,0.476,0.335,109,-4.7,2.7,1,"PHI","RF",345,0.514157973174367,0.55111821086262
"13",2023,"Jorge Soler","MIA",137,504,580,126,66,24,0,36,77,75,66,4,141,6,4,0,20,1,0,0.25,0.114,0.243,0.262,0.272,0.341,0.512,0.361,126,-3.7,15.3,1.9,"MIA","RF",340,0.586206896551724,0.674603174603175
"14",2023,"Seiya Suzuki","CHC",138,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,0.285,0.101,0.223,0.2,0.341,0.357,0.485,0.358,126,-3.4,15.7,3.2,"CHC","RF",337,0.578044596912521,0.654368932038835
"15",2023,"Jeff McNeil","NYM",156,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,5,10,0,0.27,0.06,0.1,0.108,0.288,0.333,0.378,0.314,100,1.7,2,2.6,"NYM","RF",335,0.516975308641975,0.572649572649573
"16",2023,"Josh Lowe","TBR",135,466,501,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,0.292,0.062,0.248,0.208,0.357,0.335,0.5,0.354,131,7,25.6,3.8,"TBR","RF",328,0.654690618762475,0.703862660944206
"17",2023,"Alex Verdugo","BOS",142,546,602,144,89,37,5,13,81,54,45,1,93,6,5,0,11,5,3,0.264,0.075,0.154,0.158,0.294,0.324,0.421,0.322,98,-2,-3.5,2,"BOS","RF",323,0.536544850498339,0.591575091575092
"18",2023,"Whit Merrifield","TOR",145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272,0.061,0.171,0.11,0.313,0.318,0.382,0.304,93,1,-3.8,1.5,"TOR","RF",305,0.515202702702703,0.557586837294333
