,SS.Season,SS.Name,SS.Team.x,SS.G,SS.AB,SS.PA,SS.H,SS.B1,SS.B2,SS.B3,SS.HR,SS.R,SS.RBI,SS.BB,SS.IBB,SS.SO,SS.HBP,SS.SF,SS.SH,SS.GDP,SS.SB,SS.CS,SS.AVG,SS.BB_perc,SS.K_perc,SS.ISO,SS.BABIP,SS.OBP,SS.SLG,SS.wOBA,SS.wRC.,SS.BsR,SS.Off,SS.WAR,SS.Team.y,SS.Position,SS.score,SS.perPA,SS.perAB
1,2023,Mookie Betts,LAD,152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.307,0.139,0.154,0.272,0.316,0.408,0.579,0.416,167,3.5,60.8,8.3,LAD,SS,577,0.832611833,0.988013699
2,2023,Bobby Witt Jr.,KCR,158,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,11,49,15,0.276,0.058,0.174,0.218,0.295,0.319,0.495,0.343,115,7,19.3,5.7,KCR,SS,479,0.690201729,0.747269891
3,2023,Corey Seager,TEX,119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,0.327,0.091,0.164,0.296,0.34,0.39,0.623,0.419,169,-5.4,38.8,6.1,TEX,SS,453,0.845149254,0.949685535
4,2023,Francisco Lindor,NYM,160,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,8,31,4,0.254,0.096,0.199,0.216,0.277,0.336,0.47,0.346,121,7.7,25.9,6,NYM,SS,450,0.655021834,0.747508306
5,2023,Nico Hoerner,CHC,150,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,0.283,0.071,0.121,0.1,0.312,0.346,0.383,0.322,102,9.7,11.5,4.7,CHC,SS,412,0.598837209,0.665589661
6,2023,Trea Turner,PHI,155,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,12,30,0,0.266,0.065,0.217,0.192,0.31,0.32,0.459,0.333,108,7.3,14.1,3.8,PHI,SS,398,0.575976845,0.6228482
7,2023,Xander Bogaerts,SDP,155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,0.285,0.084,0.165,0.154,0.319,0.35,0.44,0.343,120,-0.9,15.7,4.4,SDP,SS,368,0.553383459,0.617449664
8,2023,J.P. Crawford,SEA,145,534,638,142,88,35,0,19,94,65,94,1,125,5,2,3,7,2,0,0.266,0.147,0.196,0.172,0.314,0.38,0.438,0.359,134,1.6,27.7,4.9,SEA,SS,365,0.572100313,0.683520599
9,2023,Gunnar Henderson,BAL,150,560,622,143,77,29,9,28,100,82,56,1,159,3,3,0,10,10,3,0.255,0.09,0.256,0.234,0.306,0.325,0.489,0.346,123,5.2,22.3,4.6,BAL,SS,364,0.585209003,0.65
10,2023,Ha-Seong Kim,SDP,152,538,626,140,100,23,0,17,84,60,75,1,124,3,5,5,7,38,9,0.26,0.12,0.198,0.138,0.306,0.351,0.398,0.33,112,5.1,14.1,4.4,SDP,SS,348,0.555910543,0.646840149
11,2023,CJ Abrams,WSN,151,563,614,138,86,28,6,18,83,64,32,2,118,13,3,3,7,47,4,0.245,0.052,0.192,0.167,0.279,0.3,0.412,0.306,90,9.5,2,2.1,WSN,SS,342,0.557003257,0.607460036
12,2023,Wander Franco,TBR,112,442,491,124,78,23,6,17,65,58,42,3,69,3,4,0,18,30,10,0.281,0.086,0.141,0.195,0.297,0.344,0.475,0.349,127,0.1,16.2,4.6,TBR,SS,339,0.690427699,0.766968326
13,2023,Bo Bichette,TOR,135,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,14,5,3,0.306,0.045,0.191,0.168,0.355,0.339,0.475,0.349,125,-1.7,16,3.8,TOR,SS,330,0.549084859,0.57793345
14,2023,Dansby Swanson,CHC,147,565,638,138,88,25,3,22,81,80,66,0,154,5,2,0,9,9,1,0.244,0.103,0.241,0.172,0.297,0.328,0.416,0.325,104,4.6,7.5,4.9,CHC,SS,317,0.496865204,0.561061947
15,2023,Willy Adames,MIL,149,553,638,120,65,29,2,24,73,80,71,1,165,6,6,0,12,5,3,0.217,0.111,0.259,0.19,0.259,0.31,0.407,0.311,94,-0.3,-5.3,3.4,MIL,SS,290,0.454545455,0.524412297
16,2023,Tommy Edman,STL,137,479,528,119,77,25,4,13,69,47,35,1,84,7,4,3,9,27,4,0.248,0.066,0.159,0.15,0.275,0.307,0.399,0.306,92,1.8,-3.2,2.3,STL,SS,286,0.541666667,0.597077244
17,2023,Jeremy Peña,HOU,150,577,634,152,107,32,3,10,81,52,43,1,129,9,1,1,11,13,9,0.263,0.068,0.203,0.118,0.323,0.324,0.381,0.31,96,0.1,-2.6,2.8,HOU,SS,281,0.443217666,0.487001733
18,2023,Orlando Arcia,ATL,139,488,533,129,87,25,0,17,66,65,39,0,102,3,3,0,14,1,0,0.264,0.073,0.191,0.156,0.301,0.321,0.42,0.321,99,-2.1,-2.7,2.3,ATL,SS,274,0.514071295,0.56147541
19,2023,Mauricio Dubón,HOU,132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278,0.039,0.142,0.133,0.308,0.309,0.411,0.311,97,0.1,-1.6,1.9,HOU,SS,270,0.548780488,0.578158458
20,2023,Amed Rosario,2 Tms,142,510,545,134,95,25,8,6,70,58,29,0,99,3,3,0,15,15,2,0.263,0.053,0.182,0.116,0.314,0.305,0.378,0.297,88,-2,-9.6,0.2,2 Tms,SS,266,0.488073394,0.521568627
21,2023,Carlos Correa,MIN,135,514,580,118,69,29,2,18,60,65,59,3,131,4,3,0,30,0,0,0.23,0.102,0.226,0.169,0.272,0.312,0.399,0.309,96,-9.2,-11.8,1.1,MIN,SS,261,0.45,0.507782101
22,2023,Ezequiel Tovar,COL,153,581,615,147,91,37,4,15,79,73,25,0,166,4,3,2,10,11,5,0.253,0.041,0.27,0.155,0.328,0.287,0.408,0.298,70,-0.6,-23.3,1.6,COL,SS,259,0.421138211,0.445783133
23,2023,Geraldo Perdomo,ARI,144,407,495,100,70,20,4,6,71,47,64,1,86,6,4,14,2,16,4,0.246,0.129,0.174,0.113,0.295,0.353,0.359,0.319,99,5,4.3,2.7,ARI,SS,259,0.523232323,0.636363636
24,2023,Luis Rengifo,LAA,126,394,445,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,0.264,0.092,0.184,0.18,0.293,0.339,0.444,0.339,114,0.1,7.6,1.9,LAA,SS,246,0.552808989,0.624365482
