#,Name,Team,PA,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB
1,Carlos Santana,MIN,13,0.5,0,,-0.1,0.6,-0.6,-0.2,,,
2,Anthony Rizzo,NYY,22,-0.6,1.4,,-0.2,-0.3,-0.3,0.7,,,
3,Giancarlo Stanton,NYY,18,-1.2,-0.3,,-0.6,0.1,0,1.2,,,
4,Justin Turner,TOR,19,2,-0.1,,-0.4,-0.2,-1.3,0,,,
5,Freddie Freeman,LAD,32,0.8,0.5,-0.6,0.2,0.8,0.7,1.2,,,
6,Jose Altuve,HOU,23,0.1,-0.2,,-0.8,-0.1,1.5,0.1,,,
7,Salvador Perez,KCR,17,-1.2,1.6,,-0.4,1.4,-0.8,-0.2,,,
8,Charlie Blackmon,COL,16,-1.1,-0.2,,-0.2,-1.1,1.7,1.2,,,
9,Paul Goldschmidt,STL,23,1.6,0.1,-0.2,-0.3,-0.5,0,-0.4,,0.3,
10,Starling Marte,NYM,16,2.4,0.6,,-1.3,0.3,-0.3,0.2,,,
11,Nolan Arenado,STL,23,-2,0,,0.4,-0.1,-1.1,0,,0.8,
12,Andrew McCutchen,PIT,17,0,-0.3,0,0.8,-0.2,-0.6,-0.1,,,
13,Mike Trout,LAA,15,-0.3,-0.5,,0,0.6,2.5,,,,
14,Marcell Ozuna,ATL,18,0.5,-0.6,,-1.2,-0.4,1,-0.7,,,
15,Jurickson Profar,SDP,25,0.4,0,0,-0.5,-0.1,1,-0.3,,,
16,Mark Canha,DET,17,-1.1,0.2,,1.9,0,1.1,0,,,
17,Christian Yelich,MIL,14,-0.3,0.3,0,1.4,-0.2,-0.3,1.6,,,
18,Michael A. Taylor,PIT,21,1.2,-0.1,,0,0,1,-0.4,,,
19,Manny Machado,SDP,32,-0.5,1,0.4,-1.4,0.3,0.3,1,,,
20,Bryce Harper,PHI,13,-2.2,-0.2,,-0.2,0,0.1,-0.4,,,
21,Willson Contreras,STL,17,-1,0,,0.4,-0.1,-0.7,-0.2,,1.4,
22,Brandon Drury,LAA,14,-0.3,0.4,,-0.2,-0.1,-1,-0.4,,,
23,Nick Castellanos,PHI,16,0.4,0.1,-0.2,-0.2,-0.4,-0.6,0,,,
24,J.T. Realmuto,PHI,16,-0.5,0.5,,2.2,-0.2,-0.9,-0.2,,,
25,Eddie Rosario,WSN,16,1,-0.1,-1.2,-0.2,-0.2,-0.6,0.1,,,
26,Xander Bogaerts,SDP,30,-0.6,0,0.1,-0.3,0.4,0.4,0.1,0.5,,
27,Marcus Semien,TEX,20,1,-0.6,-0.2,-0.2,-0.1,-0.5,1,,,
28,Eugenio Suárez,ARI,20,1.6,-0.4,,0,0.2,-0.9,0.2,,,
29,Trevor Story,BOS,23,-1.8,0.1,-0.5,-0.8,0.1,1,0.2,,,
30,George Springer,TOR,22,-0.5,-0.6,0,-0.2,0,-0.1,0.9,,,
31,Anthony Rendon,LAA,16,-1,-0.6,,-0.4,-0.6,-0.3,-0.7,,,
32,Francisco Lindor,NYM,18,0,0.3,0,-0.9,-0.4,-1,-0.5,,,
33,Brandon Nimmo,NYM,18,-1.9,-1.3,,-0.2,0.1,0.9,-0.5,,,
34,Javier Báez,DET,17,-0.4,-0.2,,-0.4,0.2,-1.2,,,,
35,Teoscar Hernández,LAD,30,0.6,-0.3,0,-0.2,0.2,0.3,2.9,,,
36,Josh Bell,MIA,24,-1.3,1.7,-0.1,0.7,0.3,-0.8,0,,,
37,Jorge Polanco,SEA,20,-0.4,-0.7,0,0,-0.1,-1.5,0.1,,,
38,Orlando Arcia,ATL,17,0.1,0.4,,0.3,-0.2,0.5,1.4,,,
39,Max Muncy,LAD,30,-0.9,0,-0.2,0.1,0.1,1.5,-0.5,,,
40,Christian Walker,ARI,23,-0.6,-0.3,-0.4,0.2,0.5,1.3,0.1,,,
41,José Ramírez,CLE,24,0.7,0.7,,-1.6,0.3,-0.8,-0.3,,,
42,Jesse Winker,WSN,14,0.4,0,-0.2,0.5,0.6,0.9,0,,,
43,Mookie Betts,LAD,33,2.4,0.6,1,3.7,-0.3,2.4,0.1,,,
44,Ketel Marte,ARI,24,0.6,-0.3,0.2,0.8,1.1,-0.1,-0.3,,,
45,Jeimer Candelario,CIN,17,1.9,-0.6,0.6,-0.5,-0.7,0,-1.2,,,
46,Corey Seager,TEX,15,0.3,-0.4,0.5,0,1.7,-0.5,-0.2,,,
47,Joey Gallo,WSN,14,-1.2,-1,0.1,0,0.3,-0.9,0,,,
48,Byron Buxton,MIN,12,0,0,,0.3,-0.2,0.8,-0.1,,,
49,Carlos Correa,MIN,12,-0.5,-0.4,,-0.7,0.4,1.3,-0.1,,,
50,Jorge Soler,SFG,23,-0.4,-0.8,-0.1,-0.4,-0.1,-0.5,0.1,,,
51,Mitch Haniger,SEA,19,-0.7,0.3,,1.5,0.2,-0.1,,,,
52,Matt Olson,ATL,19,-1.3,1.7,0,-0.4,0.9,0,-1,,,
53,Joey Meneses,WSN,18,-1.3,1,-0.3,-0.2,-0.2,1.3,-0.2,,,
54,Harold Ramírez,TBR,17,-0.8,0.1,-0.3,-1.3,-0.3,-0.2,-0.1,,,
55,Anthony Santander,BAL,17,-0.9,,,0.2,2.9,-0.7,-0.8,,,
56,Ryan McMahon,COL,21,1.5,-0.1,-0.5,0.3,0.4,-0.6,0.3,,,
57,Tim Anderson,MIA,21,-1.1,-0.2,-0.5,1.3,-0.5,-0.7,0,,,
58,Kris Bryant,COL,16,-1.3,-0.1,0.5,-0.7,0.2,-0.8,-0.2,,,
59,J.P. Crawford,SEA,21,-1.1,0,0.1,-1.6,-0.6,1.5,-0.2,,,
60,Aaron Judge,NYY,24,-0.3,0.7,,-2.9,-0.3,-2,0.7,,,
61,José Abreu,HOU,17,-1,-0.1,,-0.6,-0.3,-0.3,-0.2,,,
62,Tyler O'Neill,BOS,17,1.4,0.1,0,-0.4,0.3,1.3,0,,,
63,Willy Adames,MIL,14,-0.4,-0.1,0.1,1.2,0.8,0,-0.3,,,
64,Cody Bellinger,CHC,18,-1.3,0.8,-0.1,-0.6,0.5,0.2,0.1,,,
65,Trea Turner,PHI,17,-1.3,0,,0.5,0,1,-0.4,,,
66,Michael Conforto,SFG,21,-0.7,-0.1,-0.3,2,2.1,1.2,-0.1,,,
