name,no,no2,opp,pitcher
Jordan Walker,FA,,@SD,9:40 PM (Waldron)
Jordan Walker,,,,
StLOF,,,,
Jarren Duran,FA,,@Oak,9:40 PM (Boyle)
Jarren Duran,,,,
BosOF,,,,
Christopher Morel,FA,,Col,2:20 PM (Hudson)
Christopher Morel,,,,
"ChCOF, DH",,,,
Esteury Ruiz,FA,,Bos,9:40 PM (Houck)
Esteury Ruiz,,,,
OakOF,,,,
Kris Bryant,FA,,@ChC,2:20 PM (Imanaga)
Kris BryantS,,,,
"ColOF, DH",,,,
Kerry Carpenter,FA,,@NYM,7:10 PM (Manaea)
Kerry Carpenter,,,,
"DetOF, DH",,,,
Austin Hays,FA,,KC,6:35 PM (Wacha)
Austin Hays,,,,
BalOF,,,,
MJ Melendez,FA,,@Bal,6:35 PM (Kremer)
MJ Melendez,,,,
KCOF,,,,
Bryan De La Cruz,FA,,LAA,6:40 PM (Silseth)
Bryan De La Cruz,,,,
MiaOF,,,,
Mitch Haniger,FA,,Cle,9:40 PM (McKenzie)
Mitch Haniger,,,,
SeaOF,,,,
Jarred Kelenic,FA,,@ChW,2:10 PM (Flexen)
Jarred KelenicS,,,,
AtlOF,,,,
Ceddanne Rafaela,FA,,@Oak,9:40 PM (Boyle)
Ceddanne Rafaela,,,,
BosOF,,,,
Cavan Biggio,FA,,@Hou,8:10 PM (Blanco)
Cavan Biggio,,,,
"Tor2B, 1B, OF",,,,
Victor Scott II,FA,,@SD,9:40 PM (Waldron)
Victor Scott II,,,,
StLOF,,,,
Jack Suwinski,FA,,@Wsh,4:05 PM (Gore)
Jack Suwinski,,,,
PitOF,,,,
Henry Davis,FA,,@Wsh,4:05 PM (Gore)
Henry Davis,,,,
PitOF,,,,
Parker Meadows,FA,,@NYM,7:10 PM (Manaea)
Parker Meadows,,,,
DetOF,,,,
Leody Taveras,FA,,@TB,6:50 PM (Pepiot)
Leody Taveras,,,,
TexOF,,,,
Charlie Blackmon,FA,,@ChC,2:20 PM (Imanaga)
Charlie BlackmonS,,,,
"ColOF, DH",,,,
Joc Pederson,FA,,NYY,9:40 PM (Gil)
Joc Pederson,,,,
"AriOF, DH",,,,
Jose Siri,FA,,Tex,6:50 PM (Dunning)
Jose Siri,,,,
TBOF,,,,
Connor Joe,FA,,@Wsh,4:05 PM (Gore)
Connor Joe,,,,
"PitOF, 1B",,,,
Alek Thomas,FA,,NYY,9:40 PM (Gil)
Alek ThomasDTD,,,,
AriOF,,,,
LaMonte Wade Jr.,FA,,@LAD,10:10 PM (Paxton)
LaMonte Wade Jr.,,,,
"SF1B, OF",,,,
Will Benson,FA,,@Phi,6:40 PM (Sanchez)
Will Benson,,,,
CinOF,,,,
Brendan Donovan,FA,,@SD,9:40 PM (Waldron)
