#,Name,Team,PA,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%
1,Kelvin Gutiérrez,BAL,33,0.31,0.14,,0.11,0.14,0.22,0.08,,,,0.02
2,Christian Encarnacion-St...,CIN,254,0.33,0.07,0.03,0.18,0.09,0.23,0.07,,,,0.01
3,Michael Toglia,COL,277,0.33,0.08,0.02,0.12,0.12,0.20,0.13,,,,0.00
4,Albert Pujols,STL,351,0.30,0.07,0.01,0.17,0.08,0.28,0.10,,,,0.00
5,Anthony Bemboom,BAL,72,0.41,0.05,0.03,0.14,0.10,0.14,0.13,,,,0.00
6,Matt Carpenter,3 Tms,397,0.36,0.09,0.03,0.12,0.11,0.18,0.11,,,,0.00
7,Casey Schmitt,SFG,277,0.26,0.09,0.03,0.18,0.11,0.27,0.08,,0.00,0.00,0.00
8,Nick Solak,3 Tms,95,0.29,0.05,0.00,0.24,0.10,0.21,0.12,,,,0.00
9,Matt Thaiss,LAA,388,0.39,0.06,0.03,0.10,0.16,0.18,0.09,,,,0.00
10,Tim Locastro,2 Tms,113,0.44,0.06,0.00,0.12,0.13,0.18,0.06,,,,0.00
11,Marwin Gonzalez,NYY,207,0.34,0.05,0.02,0.11,0.20,0.17,0.11,,0.00,,0.00
12,Trevor Larnach,MIN,392,0.31,0.08,0.04,0.10,0.14,0.23,0.10,,,,0.00
13,Lars Nootbaar,STL,850,0.31,0.08,0.03,0.16,0.14,0.19,0.09,0.00,0.00,,0.00
14,Mike Trout,LAA,871,0.45,0.06,0.01,0.15,0.06,0.21,0.06,,,,0.00
15,Josh Harrison,2 Tms,539,0.37,0.07,0.01,0.16,0.07,0.25,0.07,,,,0.00
16,Willson Contreras,2 Tms,994,0.30,0.07,0.02,0.18,0.11,0.24,0.08,,,,0.00
17,Alex Call,2 Tms,570,0.29,0.08,0.01,0.21,0.09,0.25,0.07,,,0.00,0.00
18,Christopher Morel,CHC,868,0.29,0.06,0.02,0.16,0.11,0.27,0.11,,,,0.00
19,Clint Frazier,2 Tms,121,0.39,0.06,0.01,0.11,0.13,0.23,0.08,,,,0.00
20,Zack Collins,3 Tms,114,0.39,0.09,0.02,0.12,0.12,0.19,0.08,,,,0.00
21,Brett Wisely,SFG,131,0.39,0.14,0.05,0.06,0.10,0.18,0.08,,,,0.00
22,DJ LeMahieu,NYY,1103,0.35,0.06,0.02,0.22,0.07,0.22,0.06,0.00,0.00,,0.00
23,Kerry Carpenter,DET,582,0.32,0.07,0.04,0.09,0.14,0.21,0.12,,,,0.00
24,Davis Schneider,TOR,146,0.30,0.10,0.03,0.16,0.10,0.25,0.06,,,,0.00
25,LaMonte Wade Jr.,SFG,785,0.35,0.10,0.03,0.13,0.14,0.16,0.10,,0.00,0.00,0.00
26,Ezequiel Tovar,COL,665,0.30,0.07,0.01,0.15,0.09,0.30,0.09,,,,0.00
