#,Name,Team,PA,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB
1,Corbin Carroll,ARI,779,11,-7.8,-0.2,6.4,-0.2,18,3.3,0.2,,1.2
2,Josh Rojas,2 Tms,868,-6.7,0.3,2.9,1.9,3.3,-6.1,1.4,-0.2,,0.6
3,Trea Turner,2 Tms,1411,3.2,-0.1,-0.1,6.1,7.5,4.9,3.9,0,0,0.5
4,Will Benson,2 Tms,403,0.9,3,2.7,-1.7,3.3,4.9,-0.7,0.7,,0.5
5,Tommy Pham,4 Tms,1103,13.1,-2.2,0,-9.3,-9,-0.9,-1.3,,,0.4
6,José Ramírez,CLE,1396,13.5,7.4,0.9,4.5,8.5,8.6,2.9,,,0.3
7,Matt Olson,ATL,1433,34,2.1,3.3,7,16.4,7.6,-1.5,,,0.3
8,Francisco Lindor,NYM,1406,21.1,-3.3,-1.8,-1.8,20.3,-3.3,1.6,,,0.1
9,TJ Friedl,CIN,814,18.3,1.8,-4.3,0.4,-2.5,2.7,8.4,-0.3,,0.1
10,CJ Abrams,2 Tms,930,-10.2,-0.2,-0.6,-3.3,3.6,-10.3,6.5,0,-0.3,0.1
11,Miguel Cabrera,DET,803,-4.5,-2.4,-1.2,-10.3,-1.5,2.9,-2.9,,,0.1
12,Marcell Ozuna,ATL,1113,17.6,4.6,0.4,-3.9,-3.4,6.5,-1.9,,,0.1
13,Jesse Winker,3 Tms,758,-1.8,-3.1,-0.4,-1.3,2.6,4.2,-3.7,,,0.1
14,Ryan McMahon,COL,1241,2.7,-4.1,4.5,2.4,0.2,-8.4,6.5,1.4,,0.1
15,Ty France,SEA,1293,1.3,0.1,0.7,-6.2,-7.3,1.1,7.7,,,0.1
16,Tyler Stephenson,CIN,708,6.4,-1,-1.2,-7.4,-2.4,0.3,4.9,,,0.1
17,Ronald Acuña Jr.,ATL,1282,15.9,6.5,1.1,13.9,4.9,25.1,8.4,0,,0.1
18,Jake McCarthy,ARI,668,6.8,-4.6,1,-3.8,-0.9,1.4,2.7,-0.3,,0.1
19,Riley Greene,DET,847,1.1,1.9,-1.4,-1.1,0,1.2,1.5,,,0.1
20,Michael Busch,2 Tms,93,-5.4,-0.5,0.2,-1,0.5,-0.3,1,,,0.1
21,Starling Marte,NYM,858,12.3,-4.3,-0.3,-1.4,2.1,-5.5,-5.3,,,0
22,Greg Allen,2 Tms,162,0.2,2.3,-0.1,-2.3,-1.4,-2.7,-2.2,,,0
23,LaMonte Wade Jr.,SFG,785,6.9,-0.9,-3.1,5.2,-0.6,-1.3,6.3,,0.6,0
24,Stone Garrett,2 Tms,355,4.5,0.8,-0.6,3.5,2.6,-1.3,-0.9,,,0
25,Brice Turang,MIL,459,-15.2,0.1,-2,-2.6,1.1,-3.5,0.5,,,0
26,Jarred Kelenic,2 Tms,605,-0.5,-2.7,-0.2,4.7,-6.1,-1.5,-2.5,,,0
27,Cal Raleigh,SEA,995,-6.9,-3.9,-1.5,11.2,8.3,1.6,0.4,,-0.2,0
28,Spencer Torkelson,DET,1102,-3.1,-1.1,-0.1,-0.5,-12.6,1.4,-0.1,0,,0
29,J.P. Crawford,SEA,1258,10.7,-3.7,1.1,-1.8,5.1,-2.3,8.4,,,0
