name,hb
Yordan Alvarez,0
Juan Soto,0
Kyle Tucker,0
Brandon Nimmo,0
Michael Harris II,0
Jeff McNeil,0
Steven Kwan,0
Corbin Carroll,0
Daulton Varsho,0
Christian Yelich,0
Lars Nootbaar,0
Cody Bellinger,0
Cedric Mullins,0
TJ Friedl,0
Brandon Marsh,0
James Outman,0
Max Kepler,0
Brendan Donovan,0
Jazz Chisholm Jr.,0
Jack Suwinski,0
Kyle Schwarber,0
Josh Lowe,0
Mike Yastrzemski,0
Trent Grisham,0
Nolan Jones,0
Kevin Kiermaier,0
Alex Verdugo,0
Riley Greene,0
Joc Pederson,0
Kerry Carpenter,0
Andrew Benintendi,0
Jake Fraley,0
Jake McCarthy,0
Luke Raley,0
LaMonte Wade Jr.,0
Jesús Sánchez,0
Zach McKinstry,0
Matt Wallner,0
Kyle Isbel,0
Jarren Duran,0
Mike Tauchman,0
David Peralta,0
Seth Brown,0
Jason Heyward,0
Michael Conforto,0
Tony Kemp,0
Trevor Larnach,0
Michael Brantley,0
Will Benson,0
Garrett Mitchell,0
Sal Frelick,0
Jarred Kelenic,0
Evan Carter,0
Rafael Ortega,0
Mickey Moniak,0
Nick Gordon,0
Joey Gallo,0
Will Brennan,0
Ryan O'Hearn,0
Alek Thomas,0
Travis Jankowski,0
Parker Meadows,0
Charlie Blackmon,0
Cade Marlowe,0
Blake Sabol,0
Conner Capel,0
Nick Martini,0
Akil Baddoo,0
DJ Stewart,0
Masataka Yoshida,0
Wilyer Abreu,0
Dominic Fletcher,0
Odúbel Herrera,0
Luis González,0
Jake Cave,0
Raimel Tapia,0
Taylor Trammell,0
Eddie Rosario,0
Luis Barrera,0
Alex Kirilloff,0
Nomar Mazara,0
Tyler Naquin,0
Richie Palacios,0
Heston Kjerstad,0
Andrew Stevenson,0
Nathan Lukes,0
Cody Thomas,0
Ji Hwan Bae,0
MJ Melendez,0
Jackson Merrill,0
Josh Smith,0
Mark Contreras,0
Brett Phillips,0
Wade Meckler,0
Yadiel Hernandez,0
Estevan Florial,0
Nick Plummer,0
Joshua Palacios,0
Mark Payton,0
Jake Lamb,0
Bradley Zimmer,0
Ben Gamel,0
Travis Blankenhorn,0
JJ Bleday,0
Adam Haseley,0
Terrin Vavra,0
Ryan Aguilar,0
Billy McKinney,0
Kyle Stowers,0
Cal Stevenson,0
Jesse Winker,0
Corey Dickerson,0
Max Schrock,0
Lawrence Butler,0
J.P. Martínez,0
Trey Cabbage,0
Franchy Cordero,0
Blake Rutherford,0
Colton Cowser,0
Dee Strange-Gordon,0
Zach Reks,0
Willie Calhoun,0
Jake Alu,0
Austin Meadows,0
Steven Duggar,0
Michael Siani,0
Magneuris Sierra,0
Brett Wisely,0
Eddy Alvarez,0
Sam Hilliard,0
Canaan Smith-Njigba,0
Jose Rojas,0
Jake Bauers,0
Dominic Canzone,0
Pavin Smith,0
Cal Mitchell,0
Bligh Madris,0
Jackie Bradley Jr.,0
Matt Beaty,0
Gavin Sheets,0
Alec Burleson,0
Oscar Colás,0
Kole Calhoun,0
Brad Miller,0
