#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%
1,Collin Snider,2 Tms,56.2,0.01,0.07,,0.46,0.01,0.43,,,,,0.02
2,Mychal Givens,3 Tms,65.1,0.51,,,0.01,0.19,0.29,,,,,0.01
3,Jose A. Ferrer,WSN,34,0.71,,,0.00,0.24,0.04,,,,,0.01
4,Tyler Matzek,ATL,45,0.76,0.00,,,,0.22,0.01,,,,0.01
5,Jose Hernandez,PIT,52.2,0.33,,,,0.11,0.56,,,,,0.01
6,Dustin May,LAD,78,0.26,0.17,,0.31,0.05,0.21,,,,,0.01
7,Grant Hartwig,NYM,35.1,,0.17,,0.47,0.04,0.31,,,,,0.01
8,Bruce Zimmermann,BAL,87,0.25,,,0.12,0.28,0.22,0.13,,,,0.01
9,Wily Peralta,DET,38.1,0.26,,0.21,0.23,,0.30,,,,,0.01
10,Michael Rucker,CHC,95,0.41,0.17,,0.01,0.07,0.20,0.14,,,,0.01
11,Mike Baumann,BAL,101,0.50,0.04,,,0.03,0.19,0.23,,,,0.01
12,Lucas Sims,CIN,69.2,0.43,,,,0.00,0.50,0.06,,,,0.00
13,Tanner Banks,CHW,115,0.40,,,0.02,0.18,0.41,,,,,0.00
14,Angel Perdomo,PIT,29,0.62,,,,0.07,0.31,,,,,0.00
15,Austin Pruitt,OAK,103.2,0.30,,,0.07,0.06,0.39,0.18,,,,0.00
16,Danny Coulombe,2 Tms,64.2,0.16,,,0.13,0.06,0.54,0.12,,,,0.00
17,Brandon Bielak,HOU,94,0.16,0.13,,0.23,0.23,0.12,0.12,,,,0.00
18,Richard Bleier,2 Tms,81.1,0.05,0.29,0.02,0.46,0.04,0.14,,,,,0.00
19,Chasen Shreve,3 Tms,71,0.39,0.01,0.40,,,0.13,0.07,,,,0.00
20,Jameson Taillon,2 Tms,331.2,0.35,0.16,,0.10,0.06,0.17,0.15,,,,0.00
21,Miguel Castro,2 Tms,94.2,0.00,,,0.40,0.17,0.43,,,,,0.00
22,Bryan Garcia,DET,20.1,0.49,,,,0.27,0.24,,,,,0.00
23,Jacob Webb,2 Tms,55.2,0.49,,,,0.28,0.23,,,,,0.00
24,Fernando Cruz,CIN,83,0.33,,0.35,0.01,,0.31,,,,,0.00
25,Jhony Brito,2 Tms,93.1,0.17,0.02,,0.32,0.29,0.20,,,,,0.00
26,Robert Stephenson,3 Tms,110.1,0.36,0.19,,,0.05,0.39,0.01,,,,0.00
27,Clay Holmes,NYY,129.2,0.00,,,0.74,,0.25,,,,,0.00
28,Adonis Medina,NYM,23.2,0.17,0.28,,0.31,0.17,0.08,,,,,0.00
29,Brent Suter,3 Tms,138.2,0.31,0.16,,0.19,0.27,0.08,,,,,0.00
30,Will Smith,4 Tms,117.1,0.40,,,0.00,0.02,0.49,0.09,,,,0.00
31,Paul Sewald,2 Tms,124.2,0.54,,,,,0.46,,,,,0.00
32,Brent Headrick,MIN,25.2,0.56,0.37,,,0.06,0.01,,,,,0.00
33,Phil Maton,2 Tms,133,0.22,0.16,,0.05,,0.21,0.35,,,,0.00
34,Dauri Moreta,2 Tms,96.1,0.38,,,,0.14,0.49,,,,,0.00
35,Luis Severino,2 Tms,196.1,0.47,0.09,,0.02,0.20,0.23,,,,,0.00
36,Greg Weissert,2 Tms,33.1,0.21,0.03,,0.35,0.07,0.32,,,,,0.00
