#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,,
1,Brent Honeywell,2 Tms,52.1,-2.5,-0.1,,,-3.2,2.2,,,,-2.4,,
2,Tommy Hunter,NYM,46,-0.6,-2.2,,5.6,-1.8,-2.6,-3.4,,,,,
3,Matt Bush,2 Tms,70,-2.1,,,0.3,,-5.2,7.4,,,,,
4,Adam Ottavino,NYM,128.1,-2.7,-1.3,,8.3,3,10.9,,,,,,
5,Matt Moore,4 Tms,126.2,6.8,,,,12.9,,1.1,,,,,
6,Zack Greinke,KCR,279.1,7.1,-1.7,,-7.9,-6.2,1.6,-3.4,-0.7,,,,
7,Clayton Kershaw,LAD,258,12.6,,0.9,0,-2.1,28.7,6,,,,,
8,Adam Wainwright,STL,292.2,-5.4,1.7,,-19.9,-3,-0.7,-3.4,0.3,,,,
9,Corey Kluber,2 Tms,219,0.9,-2.8,,-22,4.2,-5,,,,,,
10,Lance Lynn,3 Tms,309.1,7.1,1.7,,-1.9,-9.3,-8.2,-6.9,,,,,
11,Jhoulys Chacín,COL,47.1,-1.4,-1.6,,-6.5,0,-1.7,1,,,,,
12,Ross Detwiler,CIN,26.1,-1.4,,,-0.4,-0.4,-3.1,0,,,,,
13,Kenley Jansen,2 Tms,109.2,,17.4,,-3.9,,-1.4,,,,,,
14,Max Scherzer,2 Tms,298,22.5,5.2,,0.3,-3.5,15.8,3.5,,,,,
15,David Price,LAD,40.1,3.3,2.1,,-1.6,-4.1,,0.9,,,,,
16,T.J. McFarland,3 Tms,36.1,,,,-4.5,-4.8,1.2,,,,,,
17,Joe Smith,MIN,27.1,-0.8,,,-0.3,,-4.6,,,,,,
18,Aníbal Sánchez,WSN,69.1,-0.8,3.8,-1.7,0.7,0.5,-0.9,-0.6,,,,,
19,Darren O'Day,ATL,21.2,1.1,,,-1.4,,-0.8,,,,,,
20,Liam Hendriks,CHW,62.2,6.5,,,,,2,-1.1,,,,,
21,Mark Melancon,ARI,56,0.1,0,0.5,0,,0.8,-1.5,,,,,
22,Charlie Morton,ATL,335.1,-18.4,,,-8.1,2.1,-1.9,30.6,,,,,
23,Rich Hill,3 Tms,270.2,-11.5,-2,-0.4,4,0.7,-8.7,-8.2,0.3,,,,
24,Jake Diekman,4 Tms,115.1,7.9,0.6,,-2.2,2.2,-6.3,,,,,,
25,Anthony Gose,CLE,21,-5.8,,,,-0.1,3.9,,,,,,
26,Jeurys Familia,3 Tms,57,-1.2,,-0.6,-12.6,,-0.2,,,,,,
27,Manny Bañuelos,2 Tms,41,0.5,,,2.2,0.5,0,-0.1,,,,,
28,Michael Pineda,DET,46.2,-8.1,,,,-3.6,1.3,,,,,,
29,Jesse Chavez,3 Tms,107,-0.3,10.7,,-10.9,2.3,,1.7,,,,,
30,Madison Bumgarner,ARI,175.1,-22.5,-10.8,,-1.1,0.4,,0.7,0,,,,
31,Ryan Brasier,2 Tms,124,-5.2,5.1,,-0.2,-0.3,10.4,,,,,,
32,Huascar Brazoban,MIA,90.2,-3.2,,,-1.6,4.8,3.2,,,,,,
33,David Phelps,TOR,63.2,3.8,-2.2,,1.9,0.5,,2.8,,,,,
34,Chris Archer,MIN,102.2,-10,,,0,1,8.6,0.8,,,,,
35,Jake Odorizzi,2 Tms,106.1,0,1.9,-0.5,0.4,,-0.5,-1.3,,,,,
36,Trevor May,2 Tms,71.2,-4.7,,0.4,,4.9,2.9,,,,,,
37,José Cisnero,2 Tms,86,0,-0.4,-0.3,-4.3,-1.2,7.1,0.2,,,,,
38,Steve Cishek,WSN,66.1,3.8,,,1.1,0,-7.1,,,,,,
39,Alex Cobb,SFG,301,-1,,6.5,8.9,,-4.7,-2,,,,,
40,Carlos Carrasco,2 Tms,247,-19.8,-0.6,,-12,6.8,-0.8,-2.7,,,,,
41,Craig Kimbrel,2 Tms,129,10.5,,,,,-1.5,5.7,,,,,
42,Alex Colomé,2 Tms,50,-5.4,-4.3,,,,,,,,,,
43,Julio Teheran,MIL,71.2,-7.1,4.1,,0,-0.8,2.5,,,,,,
44,Johnny Cueto,2 Tms,210.2,9,-8.9,,5,-5.9,-0.8,1.6,,,,,
45,Chase Anderson,3 Tms,110.1,-5.8,0.7,,-11.1,9.9,1.4,-3.5,,,,,
46,Martín Pérez,2 Tms,342.1,6,-1.1,,9.4,0.3,1.7,-1.5,,,,,
47,Luis García,2 Tms,120.2,-3.5,-0.2,2.2,0.4,,6.1,,,,,,
48,Ian Kennedy,2 Tms,66.2,-1.1,-3.9,-2.3,,-1.5,-0.6,-2.4,,,,,
49,Ryan Pressly,HOU,115.2,-2.5,,,0.3,-0.9,18.9,5.7,,,,,
50,Fernando Cruz,CIN,83,-1.8,,15.1,0.6,,-2.7,,,,,,
51,Daniel Bard,COL,109.2,-3.5,-1,,9.5,0.8,3.7,,,,,,
52,Daniel Hudson,LAD,30.1,3.2,,,0.4,-1.2,5.4,,,,,,
53,Craig Stammen,SDP,40.2,,-3.1,,0.8,0,-0.8,-2.1,,,,,
54,Jay Jackson,3 Tms,32,-1.3,,,0.2,0,10.1,,,,,,
55,Collin McHugh,ATL,128,-0.2,9.6,,-0.1,-0.1,4.6,0.3,-0.6,,,,
56,Jake McGee,3 Tms,37,-1.7,,,,,-2.1,,,,,,
57,Jordan Lyles,2 Tms,357.2,6,-3.2,,-3.6,-11.9,-6.8,-5.9,,,,,
58,Tommy Milone,SEA,25.2,0.2,-0.1,,,-1.8,1.8,-0.9,,,,,
59,Wily Peralta,DET,38.1,-1,,-1.6,2.2,,3.2,,,,,,
60,Richard Bleier,2 Tms,81.1,-2.8,-0.7,-2.2,1.2,-1.5,-0.9,,,,,,
61,Hunter Strickland,CIN,62.1,-2.6,,,0.1,-0.9,-2.9,,,,,,
62,Anthony Bass,2 Tms,90.1,-3.4,,-0.3,5.3,,10.2,,,,,,
63,Will Smith,4 Tms,117.1,-7.4,,,-0.1,0.2,16,-4,,,,,
64,Bryan Shaw,2 Tms,104,-1.8,6.2,0.4,2,0.2,-0.2,-3.8,,,,,
65,David Robertson,5 Tms,131,,12.9,,0.2,0.7,0.1,6.7,,,,,
66,Paolo Espino,WSN,117.1,-12,,,,-2.1,-9.2,-0.6,,,,,
67,Lucas Luetge,2 Tms,71,0.7,-9.3,,,,1.3,3.3,,,,,
68,Justin Verlander,2 Tms,337.1,39.2,,,,0.1,16.4,10.8,,,,,
69,Wade Miley,2 Tms,157.1,3,9.7,,-2.6,3.2,2.8,0.3,,,,,
70,Kirby Yates,2 Tms,69.1,2.3,,4.6,,,-0.4,-0.4,,,,,
